id;aluno_id;materia_id;data;presente
91;1650;6;2025-02-20;1
92;2555;12;2025-04-23;0
93;3015;1;2025-02-04;0
94;1314;25;2025-03-22;0
95;1591;22;2025-01-14;1
96;2921;24;2025-03-29;1
97;2949;23;2025-04-25;1
98;803;13;2025-02-22;0
99;2149;4;2025-03-31;1
100;3088;15;2025-04-13;0
101;405;12;2025-03-20;0
102;2114;3;2025-02-15;1
103;1148;26;2025-04-14;0
104;1380;1;2025-04-26;1
105;2749;25;2025-04-04;0
106;2314;6;2025-03-13;0
107;2511;28;2025-04-20;1
108;2917;7;2025-01-15;0
109;621;16;2025-04-13;1
110;1954;7;2025-01-16;0
111;1805;17;2025-03-05;0
112;32;10;2025-01-31;1
113;510;10;2025-03-14;0
114;1468;11;2025-03-10;0
115;1836;20;2025-01-10;0
116;247;14;2025-02-17;1
117;1023;18;2025-03-07;1
118;470;23;2025-01-04;0
119;338;9;2025-01-11;1
120;2944;26;2025-02-09;1
121;2356;22;2025-02-25;1
122;2012;14;2025-04-15;0
123;58;27;2025-01-07;0
124;2666;24;2025-02-17;0
125;637;9;2025-02-15;0
126;1490;29;2025-04-12;1
127;1334;29;2025-02-21;1
128;1960;6;2025-01-23;0
129;646;26;2025-01-24;1
130;2458;7;2025-01-07;0
131;1051;17;2025-01-09;1
132;2771;1;2025-03-12;1
133;1764;5;2025-03-03;1
134;13;6;2025-04-23;1
135;440;14;2025-01-09;0
136;284;14;2025-04-14;1
137;66;6;2025-01-16;1
138;2510;1;2025-02-22;0
139;1753;27;2025-02-05;0
140;2078;20;2025-02-02;0
141;1232;16;2025-03-27;0
142;2247;4;2025-04-07;0
143;102;27;2025-02-25;1
144;2752;12;2025-01-27;1
145;1040;17;2025-01-24;0
146;1330;24;2025-02-05;0
147;631;19;2025-04-14;0
148;384;4;2025-02-26;1
149;1608;30;2025-03-04;1
150;625;2;2025-03-07;1
151;2320;25;2025-04-04;0
152;1710;8;2025-03-21;1
153;2539;9;2025-04-09;0
154;1510;30;2025-04-23;0
155;1769;27;2025-04-09;1
156;1473;1;2025-03-31;0
157;2320;20;2025-04-15;1
158;1603;5;2025-03-27;1
159;1525;12;2025-02-01;0
160;2434;21;2025-04-17;0
161;726;20;2025-04-15;0
162;1684;21;2025-03-28;1
163;1611;24;2025-03-25;1
164;338;13;2025-03-14;1
165;1654;6;2025-02-13;0
166;1073;14;2025-03-01;1
167;198;4;2025-02-14;1
168;2555;9;2025-03-11;1
169;2211;23;2025-02-03;1
170;1474;30;2025-02-17;0
171;2914;17;2025-02-26;0
172;2436;18;2025-03-30;1
173;3120;22;2025-02-11;1
174;2837;2;2025-03-27;1
175;95;14;2025-01-14;0
176;1662;17;2025-04-18;1
177;1709;25;2025-02-23;0
178;151;30;2025-03-20;0
179;807;11;2025-02-24;1
180;552;15;2025-02-17;1
181;1917;15;2025-02-06;0
182;1922;26;2025-03-20;0
183;17;22;2025-01-22;0
184;540;15;2025-03-15;1
185;1240;27;2025-02-10;1
186;1908;16;2025-01-09;1
187;3027;24;2025-04-02;0
188;1725;28;2025-02-27;1
189;171;7;2025-04-05;0
190;2411;8;2025-03-04;0
191;2675;24;2025-01-03;1
192;20;22;2025-04-11;0
193;2118;30;2025-02-26;1
194;622;17;2025-01-04;0
195;1323;11;2025-04-14;1
196;2181;2;2025-01-03;1
197;2405;26;2025-04-24;0
198;312;28;2025-03-16;1
199;623;19;2025-04-10;1
200;3010;11;2025-02-28;1
201;1320;16;2025-01-01;0
202;2891;24;2025-03-28;1
203;2151;19;2025-02-26;0
204;1440;18;2025-03-30;1
205;2969;3;2025-02-18;0
206;2898;30;2025-01-01;1
207;1788;25;2025-03-09;1
208;385;11;2025-02-21;1
209;1147;29;2025-01-17;0
210;1318;20;2025-01-21;0
211;2185;12;2025-03-12;1
212;1078;16;2025-02-06;1
213;1447;26;2025-01-07;1
214;78;30;2025-03-15;1
215;2908;5;2025-02-13;0
216;1242;6;2025-01-29;1
217;3072;30;2025-04-05;1
218;1899;17;2025-01-03;1
219;2188;18;2025-02-11;0
220;1712;16;2025-03-13;0
221;378;10;2025-03-08;0
222;804;3;2025-03-05;1
223;806;2;2025-04-23;1
224;1969;10;2025-01-23;0
225;1089;10;2025-03-09;0
226;963;14;2025-02-21;0
227;536;15;2025-04-11;1
228;2713;25;2025-01-06;1
229;1480;11;2025-04-06;0
230;2340;7;2025-03-29;0
231;2806;22;2025-01-10;1
232;1265;28;2025-04-15;1
233;123;21;2025-02-18;0
234;2147;21;2025-04-23;1
235;1486;19;2025-01-19;1
236;581;29;2025-03-29;1
237;1306;22;2025-02-13;0
238;634;10;2025-02-01;0
239;1060;23;2025-01-28;0
240;223;20;2025-03-09;1
241;1253;9;2025-03-25;0
242;2942;20;2025-02-05;1
243;118;26;2025-04-25;1
244;2402;30;2025-03-01;1
245;2333;30;2025-01-25;1
246;1692;29;2025-04-15;1
247;257;25;2025-04-05;0
248;795;17;2025-01-27;0
249;828;11;2025-01-15;1
250;2568;30;2025-02-03;0
251;448;27;2025-01-13;0
252;2608;15;2025-04-03;1
253;1442;11;2025-02-17;1
254;961;7;2025-03-13;0
255;457;5;2025-04-07;1
256;593;30;2025-02-11;0
257;2603;7;2025-02-06;0
258;1991;12;2025-01-31;0
259;2812;14;2025-01-02;1
260;2189;1;2025-01-19;0
261;39;30;2025-03-21;1
262;1908;18;2025-03-11;0
263;838;22;2025-02-22;0
264;58;2;2025-04-27;1
265;372;22;2025-04-15;0
266;2288;11;2025-01-24;1
267;639;8;2025-02-14;0
268;1693;24;2025-03-05;1
269;255;4;2025-01-27;0
270;1199;9;2025-01-17;0
271;949;5;2025-02-11;0
272;2883;9;2025-01-21;0
273;2450;6;2025-03-03;1
274;1468;24;2025-01-18;1
275;401;9;2025-03-13;0
276;2626;8;2025-02-13;1
277;1105;8;2025-03-22;1
278;2707;1;2025-02-24;1
279;1221;25;2025-04-09;1
280;2481;10;2025-02-07;1
281;2377;15;2025-01-05;1
282;1524;23;2025-02-15;1
283;915;23;2025-02-06;1
284;2016;14;2025-03-15;0
285;1367;19;2025-02-03;0
286;1796;12;2025-03-17;0
287;2199;7;2025-02-26;0
288;1136;22;2025-01-18;1
289;964;24;2025-01-22;0
290;2820;1;2025-02-18;0
291;387;19;2025-04-02;1
292;2349;30;2025-04-04;1
293;2994;21;2025-01-01;0
294;2281;10;2025-03-09;0
295;349;4;2025-01-24;0
296;1131;20;2025-04-07;1
297;2149;8;2025-02-20;0
298;644;24;2025-04-26;0
299;9;9;2025-04-19;1
300;2262;10;2025-04-01;0
301;802;22;2025-02-09;1
302;2746;28;2025-03-01;1
303;2185;22;2025-04-06;1
304;2334;19;2025-04-19;0
305;813;21;2025-04-15;0
306;1173;27;2025-04-25;1
307;952;23;2025-01-16;1
308;1664;18;2025-01-17;0
309;1026;6;2025-02-27;1
310;1797;26;2025-01-10;1
311;1731;19;2025-03-27;1
312;2386;19;2025-04-12;1
313;2213;15;2025-03-24;1
314;1936;21;2025-01-01;1
315;2605;13;2025-04-15;1
316;2176;23;2025-03-07;0
317;912;30;2025-03-14;1
318;2491;1;2025-04-05;1
319;517;8;2025-02-22;0
320;2284;5;2025-03-06;0
321;543;25;2025-02-28;0
322;250;29;2025-04-12;0
323;725;1;2025-03-27;1
324;849;20;2025-01-23;0
325;290;3;2025-02-19;0
326;197;8;2025-01-01;0
327;776;30;2025-04-03;1
328;2211;30;2025-03-20;1
329;1209;24;2025-03-06;0
330;2783;22;2025-03-08;0
331;902;23;2025-04-15;0
332;1625;14;2025-04-17;0
333;1947;24;2025-04-01;1
334;2526;23;2025-02-16;1
335;1659;24;2025-04-06;1
336;1832;19;2025-02-01;1
337;2291;27;2025-04-13;1
338;584;2;2025-02-26;0
339;1929;9;2025-04-03;0
340;455;15;2025-04-22;1
341;2340;24;2025-03-24;0
342;1738;18;2025-02-15;0
343;240;9;2025-02-22;1
344;994;26;2025-02-07;0
345;2459;4;2025-04-21;0
346;300;13;2025-01-16;0
347;1344;10;2025-04-18;1
348;2150;2;2025-02-07;1
349;378;12;2025-02-26;0
350;1428;1;2025-01-28;1
351;1592;20;2025-02-16;0
352;1236;27;2025-04-09;0
353;1082;25;2025-02-24;0
354;661;25;2025-01-10;0
355;1719;13;2025-04-03;0
356;3017;5;2025-03-08;0
357;2336;8;2025-01-10;1
358;2827;12;2025-02-28;1
359;2154;30;2025-01-28;0
360;2039;21;2025-01-19;1
361;2875;28;2025-01-28;0
362;781;4;2025-02-11;1
363;541;5;2025-02-08;0
364;535;16;2025-04-15;0
365;1327;12;2025-04-26;0
366;1550;25;2025-03-29;1
367;3112;15;2025-01-12;1
368;1853;1;2025-04-02;0
369;1544;5;2025-04-01;1
370;2177;18;2025-01-25;1
371;1481;3;2025-04-04;1
372;1234;19;2025-01-27;0
373;1341;28;2025-02-24;1
374;3064;22;2025-01-20;1
375;2157;8;2025-01-10;1
376;2675;21;2025-02-21;0
377;2236;10;2025-01-01;1
378;2434;1;2025-04-12;1
379;440;4;2025-03-31;1
380;763;8;2025-03-04;1
381;68;28;2025-04-01;1
382;62;2;2025-03-20;1
383;242;2;2025-03-03;0
384;57;30;2025-01-22;1
385;2791;15;2025-04-02;1
386;1246;22;2025-01-15;1
387;2057;15;2025-04-03;0
388;2749;2;2025-01-13;0
389;2399;20;2025-01-20;1
390;1669;7;2025-04-19;1
391;1083;30;2025-01-24;0
392;253;3;2025-03-11;1
393;387;22;2025-04-16;0
394;865;16;2025-02-16;0
395;2319;7;2025-04-05;0
396;1716;9;2025-01-21;0
397;1101;19;2025-04-25;0
398;2593;19;2025-01-25;0
399;2284;5;2025-02-20;1
400;1094;21;2025-01-08;1
401;1296;9;2025-03-17;1
402;1631;30;2025-03-28;1
403;2652;14;2025-02-27;1
404;1243;6;2025-03-19;1
405;519;10;2025-04-20;1
406;2714;21;2025-02-15;0
407;2754;4;2025-01-27;0
408;1279;24;2025-04-27;0
409;421;8;2025-01-13;0
410;3087;19;2025-04-08;1
411;2191;12;2025-02-04;1
412;18;3;2025-02-10;0
413;1239;3;2025-02-09;0
414;2341;26;2025-03-30;1
415;2450;29;2025-02-04;1
416;48;7;2025-01-05;1
417;6;15;2025-04-13;0
418;238;19;2025-02-09;0
419;2294;26;2025-01-01;1
420;1200;9;2025-01-02;1
421;1436;2;2025-02-24;0
422;2900;24;2025-01-14;1
423;1655;8;2025-01-14;1
424;887;3;2025-04-26;1
425;1075;20;2025-03-16;0
426;25;1;2025-02-13;1
427;2008;9;2025-01-01;0
428;154;28;2025-01-29;0
429;979;11;2025-04-13;0
430;701;20;2025-01-08;0
431;843;16;2025-01-27;1
432;2186;24;2025-03-04;1
433;2134;8;2025-02-24;1
434;836;11;2025-02-20;0
435;2097;10;2025-02-11;0
436;2029;25;2025-04-04;0
437;1933;28;2025-02-26;0
438;1425;28;2025-03-08;1
439;1615;8;2025-04-08;1
440;666;30;2025-02-10;0
441;1030;12;2025-01-04;1
442;2433;2;2025-03-14;1
443;1393;13;2025-02-28;1
444;1423;12;2025-04-04;0
445;2260;7;2025-04-18;1
446;498;28;2025-04-27;1
447;1226;8;2025-04-20;1
448;3103;15;2025-03-25;1
449;1951;28;2025-02-07;0
450;1205;14;2025-01-28;0
451;2390;7;2025-04-16;0
452;1232;7;2025-01-15;1
453;10;20;2025-02-22;1
454;958;7;2025-02-22;0
455;977;12;2025-01-12;0
456;147;27;2025-02-09;1
457;2410;26;2025-03-09;1
458;1868;7;2025-01-26;1
459;2520;15;2025-02-14;0
460;2895;13;2025-02-19;0
461;1138;18;2025-03-21;0
462;2976;8;2025-02-20;1
463;3037;7;2025-03-01;0
464;943;2;2025-04-07;1
465;1797;17;2025-03-29;1
466;602;17;2025-01-18;1
467;1278;5;2025-01-21;0
468;1870;25;2025-04-22;0
469;3076;14;2025-03-05;1
470;1988;20;2025-01-25;1
471;537;28;2025-02-23;1
472;1617;4;2025-01-11;0
473;393;9;2025-03-20;1
474;2206;30;2025-03-11;1
475;1880;23;2025-04-15;1
476;577;6;2025-01-14;0
477;356;21;2025-04-18;1
478;2771;3;2025-01-03;1
479;865;12;2025-02-02;1
480;934;23;2025-04-14;0
481;1303;14;2025-02-26;1
482;71;29;2025-04-13;1
483;2462;28;2025-03-07;0
484;16;5;2025-01-01;0
485;471;26;2025-01-10;0
486;1024;24;2025-01-15;0
487;2280;15;2025-02-17;1
488;201;7;2025-01-26;1
489;2503;3;2025-01-11;1
490;2792;23;2025-02-12;0
491;1834;4;2025-01-04;0
492;814;2;2025-04-17;1
493;730;10;2025-01-29;0
494;216;9;2025-02-08;1
495;2385;1;2025-01-29;0
496;2917;26;2025-04-08;0
497;2154;1;2025-03-27;0
498;2362;29;2025-03-11;1
499;2366;17;2025-01-08;0
500;2157;27;2025-04-19;0
501;2355;28;2025-03-13;1
502;2114;29;2025-02-12;0
503;1172;8;2025-02-26;0
504;2352;18;2025-01-22;1
505;62;26;2025-04-25;0
506;2256;20;2025-01-28;1
507;697;10;2025-03-06;0
508;2624;16;2025-03-17;0
509;798;21;2025-01-12;1
510;1593;20;2025-02-24;1
511;1043;22;2025-04-03;0
512;1636;27;2025-02-01;1
513;2491;7;2025-02-02;0
514;2842;14;2025-02-14;1
515;490;14;2025-04-03;1
516;2399;5;2025-01-04;1
517;2362;23;2025-02-27;1
518;1104;3;2025-02-12;1
519;638;20;2025-04-09;1
520;2473;18;2025-03-21;0
521;2605;16;2025-03-27;1
522;1013;5;2025-01-09;1
523;86;3;2025-04-15;0
524;1346;20;2025-01-12;0
525;169;30;2025-02-06;1
526;2906;22;2025-02-03;1
527;3012;21;2025-04-14;1
528;1018;7;2025-03-18;1
529;2209;11;2025-01-22;1
530;2561;2;2025-01-22;0
531;333;29;2025-03-12;0
532;2373;4;2025-03-14;0
533;908;10;2025-03-15;0
534;427;27;2025-02-23;0
535;849;2;2025-04-24;1
536;49;3;2025-02-26;0
537;3036;21;2025-02-22;1
538;660;16;2025-03-26;0
539;2023;14;2025-03-18;0
540;2313;16;2025-04-16;1
541;2602;17;2025-03-09;1
542;1641;13;2025-03-21;1
543;964;30;2025-01-16;0
544;1912;1;2025-02-22;0
545;553;29;2025-04-16;0
546;1831;26;2025-01-27;1
547;341;9;2025-01-24;0
548;1942;15;2025-03-17;0
549;1596;15;2025-02-04;1
550;1528;16;2025-02-18;1
551;29;16;2025-02-28;1
552;1068;25;2025-04-21;1
553;2012;7;2025-01-14;1
554;737;1;2025-04-04;1
555;2268;21;2025-01-06;0
556;543;13;2025-03-21;0
557;2462;18;2025-02-02;1
558;2154;12;2025-02-13;0
559;1088;5;2025-01-11;0
560;438;26;2025-01-29;0
561;2891;30;2025-02-28;1
562;2577;11;2025-02-25;1
563;2193;2;2025-03-13;0
564;2365;14;2025-03-03;1
565;460;28;2025-01-16;0
566;1953;30;2025-01-10;1
567;1322;25;2025-03-12;0
568;1903;13;2025-01-15;0
569;406;14;2025-02-11;0
570;3081;12;2025-03-23;1
571;627;29;2025-04-01;0
572;3086;12;2025-04-13;0
573;26;23;2025-01-29;1
574;748;11;2025-03-07;0
575;3016;21;2025-01-21;0
576;834;14;2025-02-08;1
577;1730;16;2025-03-22;1
578;755;27;2025-01-25;1
579;1981;1;2025-01-27;1
580;2509;22;2025-04-18;0
581;177;29;2025-01-24;0
582;3067;28;2025-04-09;0
583;1239;25;2025-04-12;1
584;452;8;2025-03-13;0
585;1509;3;2025-01-09;1
586;486;24;2025-01-09;1
587;534;1;2025-01-16;1
588;2504;15;2025-02-06;0
589;2601;16;2025-01-29;1
590;189;27;2025-03-17;0
591;639;30;2025-04-16;1
592;255;27;2025-04-23;0
593;130;24;2025-03-01;0
594;2664;18;2025-03-28;0
595;909;28;2025-04-26;1
596;2614;9;2025-04-06;0
597;2625;27;2025-03-28;0
598;1718;4;2025-03-07;1
599;835;29;2025-02-20;1
600;1674;5;2025-04-07;1
601;1029;1;2025-01-14;1
602;1748;13;2025-04-13;0
603;1509;1;2025-01-20;1
604;311;28;2025-02-20;1
605;34;27;2025-04-14;1
606;2922;26;2025-01-01;1
607;876;4;2025-01-20;1
608;2851;30;2025-03-11;1
609;1098;3;2025-03-30;1
610;1771;1;2025-02-21;0
611;2240;1;2025-04-18;1
612;1208;16;2025-04-06;0
613;2500;3;2025-03-29;1
614;2853;13;2025-03-15;1
615;2421;2;2025-04-23;1
616;1193;17;2025-01-26;1
617;1456;16;2025-01-24;1
618;595;25;2025-01-07;0
619;445;12;2025-03-07;1
620;926;27;2025-01-07;0
621;383;16;2025-01-26;1
622;2907;26;2025-01-11;1
623;1598;26;2025-02-10;1
624;1770;21;2025-01-15;1
625;1163;13;2025-01-31;1
626;2140;13;2025-01-19;1
627;624;7;2025-03-17;1
628;325;3;2025-01-30;1
629;1657;14;2025-02-18;1
630;2099;1;2025-03-19;0
631;2453;14;2025-01-24;0
632;432;26;2025-01-04;1
633;206;24;2025-02-07;1
634;359;2;2025-01-13;0
635;2227;10;2025-02-20;1
636;409;19;2025-02-01;1
637;2064;20;2025-04-17;0
638;1680;19;2025-03-17;0
639;1839;21;2025-02-08;1
640;2407;8;2025-01-25;1
641;86;5;2025-04-13;1
642;315;4;2025-02-22;0
643;2530;18;2025-01-06;1
644;1091;11;2025-04-10;1
645;2472;24;2025-02-23;0
646;2756;5;2025-01-29;0
647;2356;9;2025-04-19;1
648;348;13;2025-02-12;0
649;727;10;2025-04-25;0
650;69;6;2025-02-21;1
651;1904;8;2025-01-16;0
652;1813;16;2025-03-05;1
653;3105;30;2025-02-01;0
654;1540;17;2025-03-17;0
655;362;25;2025-01-30;0
656;2895;21;2025-03-08;0
657;956;30;2025-02-04;1
658;1726;4;2025-03-11;1
659;851;15;2025-03-22;1
660;2923;30;2025-03-02;0
661;299;15;2025-03-21;1
662;2847;19;2025-02-24;1
663;1119;15;2025-02-11;0
664;1061;10;2025-04-20;1
665;982;16;2025-01-13;1
666;662;29;2025-01-22;0
667;2631;14;2025-03-16;0
668;1892;17;2025-04-12;0
669;141;28;2025-01-19;1
670;2495;2;2025-01-02;1
671;1897;2;2025-03-19;1
672;2609;1;2025-02-01;0
673;2750;21;2025-03-30;0
674;2355;4;2025-02-06;1
675;2664;17;2025-02-12;0
676;2455;29;2025-01-20;0
677;1288;13;2025-02-16;1
678;1865;4;2025-01-03;0
679;1332;3;2025-02-13;0
680;158;9;2025-02-27;1
681;1251;7;2025-03-23;0
682;291;15;2025-02-06;0
683;2479;25;2025-03-18;0
684;1392;8;2025-03-04;1
685;2215;1;2025-01-12;0
686;863;7;2025-02-14;0
687;998;7;2025-02-06;0
688;1801;5;2025-01-13;0
689;48;6;2025-01-23;1
690;738;24;2025-04-16;1
691;3006;15;2025-04-27;0
692;1421;2;2025-01-26;0
693;1095;6;2025-03-07;1
694;135;22;2025-03-27;0
695;1842;8;2025-04-10;1
696;498;12;2025-03-09;1
697;2104;24;2025-03-13;1
698;815;10;2025-02-24;0
699;1487;2;2025-04-23;0
700;1244;10;2025-02-21;0
701;2340;1;2025-03-14;0
702;97;2;2025-03-22;0
703;896;2;2025-02-25;0
704;2336;18;2025-02-19;0
705;1267;10;2025-01-19;0
706;801;26;2025-01-29;0
707;2847;23;2025-03-04;1
708;2651;28;2025-02-13;0
709;1219;6;2025-04-08;0
710;496;13;2025-02-24;1
711;2887;21;2025-02-01;0
712;3066;2;2025-01-22;0
713;1815;19;2025-01-23;1
714;926;11;2025-03-09;0
715;2758;16;2025-04-23;0
716;1022;28;2025-04-02;0
717;517;10;2025-01-13;1
718;2011;7;2025-04-10;0
719;49;10;2025-02-24;0
720;2317;4;2025-03-08;0
721;1308;1;2025-04-09;0
722;2018;8;2025-01-27;0
723;997;14;2025-03-29;1
724;770;30;2025-01-07;0
725;2611;30;2025-02-17;1
726;84;19;2025-01-11;1
727;2487;4;2025-01-21;0
728;2955;15;2025-03-22;0
729;1939;15;2025-02-18;1
730;775;18;2025-02-20;0
731;796;28;2025-03-01;1
732;687;14;2025-03-12;1
733;1316;3;2025-03-29;1
734;2099;3;2025-01-03;1
735;1662;19;2025-01-31;1
736;82;15;2025-01-31;0
737;920;17;2025-01-12;0
738;1070;26;2025-01-30;1
739;2501;15;2025-04-12;0
740;461;8;2025-02-26;0
741;2145;3;2025-03-27;1
742;53;10;2025-02-28;1
743;2562;4;2025-03-23;0
744;775;15;2025-01-16;1
745;2277;8;2025-01-04;0
746;2390;8;2025-03-09;1
747;2064;15;2025-02-13;1
748;1324;5;2025-03-07;1
749;1044;29;2025-04-14;1
750;2017;26;2025-02-14;0
751;1544;13;2025-04-13;1
752;1766;29;2025-03-07;0
753;1691;20;2025-01-16;0
754;2752;27;2025-03-17;0
755;946;6;2025-02-01;0
756;2642;5;2025-04-20;1
757;1418;7;2025-02-14;0
758;2760;2;2025-01-01;1
759;1895;23;2025-02-08;0
760;2462;27;2025-03-09;1
761;2101;16;2025-04-07;0
762;1482;11;2025-04-02;0
763;2031;8;2025-04-01;0
764;1630;16;2025-01-13;1
765;368;19;2025-03-10;0
766;2083;13;2025-01-02;1
767;2179;11;2025-02-20;0
768;1361;16;2025-04-11;0
769;2895;5;2025-01-29;1
770;67;9;2025-01-25;1
771;1661;24;2025-02-07;0
772;1422;17;2025-02-07;1
773;217;20;2025-03-02;0
774;721;25;2025-03-11;1
775;1252;8;2025-01-09;0
776;2531;17;2025-04-20;1
777;211;25;2025-01-30;0
778;2087;15;2025-01-13;1
779;2941;28;2025-02-15;0
780;780;3;2025-02-13;0
781;2510;24;2025-02-27;1
782;1882;7;2025-02-21;1
783;618;15;2025-03-17;0
784;330;5;2025-04-19;1
785;1152;17;2025-01-12;0
786;2468;22;2025-03-22;1
787;694;23;2025-02-13;0
788;1096;6;2025-04-04;0
789;2075;1;2025-03-09;1
790;977;12;2025-04-17;0
791;1807;20;2025-01-29;1
792;1754;14;2025-01-12;1
793;632;4;2025-02-08;1
794;2272;1;2025-03-27;1
795;1488;29;2025-01-28;1
796;3027;28;2025-01-27;0
797;537;19;2025-03-14;1
798;2291;15;2025-03-26;0
799;2628;24;2025-03-24;0
800;2738;28;2025-02-09;1
801;2117;28;2025-01-18;0
802;2348;2;2025-03-16;0
803;2393;20;2025-03-28;1
804;1311;15;2025-03-29;1
805;1403;30;2025-04-05;1
806;2506;19;2025-02-26;0
807;909;6;2025-03-07;1
808;2651;19;2025-03-25;0
809;1186;20;2025-03-13;0
810;1494;29;2025-01-24;1
811;1214;8;2025-01-23;1
812;2083;2;2025-02-25;0
813;2609;19;2025-02-21;1
814;1809;23;2025-02-25;0
815;1784;14;2025-04-22;0
816;2143;15;2025-03-12;0
817;2033;17;2025-03-01;0
818;2291;26;2025-01-29;1
819;427;27;2025-03-31;1
820;1166;22;2025-01-08;1
821;736;11;2025-04-19;0
822;392;10;2025-04-22;0
823;1710;18;2025-01-16;1
824;2163;5;2025-01-03;0
825;1468;27;2025-01-21;1
826;2044;13;2025-01-10;0
827;796;21;2025-02-18;0
828;858;3;2025-04-25;0
829;901;15;2025-02-06;1
830;1531;23;2025-03-13;1
831;1105;26;2025-04-17;0
832;78;11;2025-03-27;1
833;2845;24;2025-01-12;0
834;1296;6;2025-03-23;1
835;562;11;2025-03-07;0
836;2751;13;2025-03-29;0
837;133;23;2025-04-20;0
838;1827;22;2025-04-27;1
839;750;29;2025-01-06;1
840;2853;7;2025-04-01;0
841;2454;25;2025-04-01;1
842;2065;17;2025-01-14;0
843;2430;11;2025-04-17;1
844;2276;9;2025-02-06;0
845;2308;21;2025-04-11;0
846;23;14;2025-03-03;1
847;1148;30;2025-02-21;1
848;2519;2;2025-01-25;1
849;2339;18;2025-03-09;1
850;1953;8;2025-01-24;0
851;515;22;2025-03-15;1
852;2714;10;2025-02-26;0
853;1740;1;2025-01-07;0
854;1729;12;2025-03-16;1
855;1241;13;2025-01-17;0
856;2039;26;2025-02-20;1
857;1386;21;2025-01-27;1
858;505;15;2025-02-25;0
859;3091;23;2025-01-13;1
860;1577;18;2025-01-08;1
861;1166;12;2025-03-07;1
862;1313;1;2025-03-18;1
863;2179;24;2025-03-28;0
864;2858;5;2025-02-07;0
865;1960;16;2025-03-25;1
866;1272;25;2025-02-17;1
867;1466;10;2025-03-27;0
868;605;11;2025-01-10;1
869;1371;23;2025-02-20;0
870;1590;19;2025-04-19;0
871;260;13;2025-01-08;1
872;1211;30;2025-02-10;1
873;2525;19;2025-04-24;1
874;1148;13;2025-01-31;0
875;1442;8;2025-01-18;1
876;178;28;2025-02-10;0
877;3114;14;2025-03-14;1
878;2580;25;2025-01-27;1
879;2658;5;2025-03-12;0
880;1620;27;2025-02-06;0
881;2318;28;2025-01-16;0
882;653;17;2025-02-11;0
883;666;22;2025-01-19;0
884;624;2;2025-01-16;0
885;1968;20;2025-01-14;1
886;2512;14;2025-01-25;1
887;3009;9;2025-03-21;1
888;623;29;2025-03-05;0
889;2464;9;2025-01-24;1
890;2598;25;2025-02-25;0
