id;aluno_id;avaliacao_id;nota
158;2898;17;7.37
159;2907;73;1.99
160;363;3;3.98
161;2844;93;7.12
162;2353;22;9.81
163;1585;9;6.88
164;2814;35;6.14
165;1343;90;0.2
166;2957;8;5.66
167;2500;12;6.34
168;1055;11;7.0
169;646;12;6.89
170;811;20;4.03
171;1810;45;4.61
172;1115;17;5.56
173;126;29;6.85
174;479;42;7.14
175;471;49;4.63
176;3047;36;6.93
177;3037;47;7.31
178;1666;40;8.15
179;2500;55;2.23
180;45;31;7.52
181;447;38;3.17
182;907;79;9.02
183;1366;77;9.62
184;1337;1;4.7
185;1494;91;4.35
186;1442;54;7.74
187;1306;16;0.44
188;204;93;7.79
189;1686;33;3.83
190;2984;10;0.21
191;529;28;0.19
192;1149;70;5.04
193;1299;25;4.09
194;2351;55;0.25
195;1243;53;1.17
196;2236;61;2.3
197;1874;13;6.05
198;2432;2;1.68
199;2980;69;6.89
200;2998;90;9.83
201;1936;15;4.33
202;857;81;7.49
203;2226;36;9.62
204;259;55;6.03
205;2096;54;6.99
206;2148;80;6.87
207;1275;3;0.17
208;315;19;0.71
209;38;71;6.5
210;2604;91;5.24
211;210;82;7.54
212;2642;99;2.76
213;2909;100;1.56
214;16;53;3.73
215;1391;47;5.95
216;829;61;3.75
217;1426;40;7.4
218;1598;45;1.84
219;812;55;7.16
220;1436;38;5.82
221;809;30;2.24
222;784;78;2.35
223;285;54;8.2
224;1089;78;2.63
225;1968;56;1.43
226;2139;32;5.51
227;2917;74;3.62
228;719;44;4.51
229;87;52;6.22
230;2783;93;0.83
231;426;46;4.04
232;858;86;7.62
233;2880;47;5.02
234;1902;34;1.01
235;2076;77;1.6
236;2999;53;0.6
237;2054;31;7.72
238;2128;91;2.4
239;2536;100;2.07
240;1539;4;7.34
241;908;5;6.44
242;749;85;0.85
243;1405;3;4.12
244;208;40;6.06
245;3119;90;6.18
246;2096;80;7.1
247;657;20;7.47
248;262;25;9.22
249;1519;46;5.04
250;159;82;2.26
251;32;26;2.7
252;731;79;1.75
253;1549;24;9.18
254;480;33;7.54
255;2549;50;9.81
256;1208;40;9.67
257;336;90;3.75
258;841;94;2.46
259;854;18;0.57
260;2804;19;7.37
261;468;78;1.68
262;2509;39;1.79
263;1530;49;1.83
264;447;91;0.63
265;2411;89;1.61
266;2003;13;2.56
267;984;8;7.49
268;1375;1;1.56
269;2640;54;5.42
270;1839;23;7.61
271;792;80;0.87
272;121;82;1.52
273;2270;85;7.44
274;199;58;0.61
275;448;81;8.62
276;2639;94;1.86
277;1625;45;9.77
278;2153;95;0.96
279;1492;5;7.4
280;1915;50;3.78
281;692;97;1.2
282;2147;99;7.76
283;1545;31;8.39
284;558;5;1.0
285;667;57;2.11
286;2341;6;4.48
287;57;75;9.66
288;2193;96;6.61
289;290;92;0.03
290;1654;81;1.7
291;2411;24;0.79
292;2157;85;5.92
293;624;21;1.04
294;1024;26;3.35
295;1449;7;0.24
296;2613;16;6.94
297;2769;45;4.46
298;2208;52;0.75
299;1610;31;8.99
300;2674;6;0.31
301;401;42;5.36
302;1875;52;6.87
303;1474;7;3.66
304;1612;21;4.76
305;1813;15;2.15
306;1569;59;1.98
307;2534;57;3.33
308;2394;51;0.13
309;568;32;6.28
310;2296;32;1.41
311;476;33;3.78
312;2407;24;6.06
313;1641;75;9.49
314;1965;32;2.02
315;2114;61;5.82
316;2470;42;8.11
317;2973;14;9.35
318;370;46;8.14
319;867;80;0.16
320;974;74;3.42
321;1739;59;2.86
322;1149;65;9.61
323;49;77;5.95
324;1719;65;6.91
325;2162;14;8.54
326;1796;40;6.68
327;236;42;5.14
328;1207;70;6.33
329;1085;22;5.19
330;1294;100;2.49
331;356;16;4.92
332;2583;77;9.14
333;1346;8;7.39
334;544;58;4.77
335;2329;42;1.63
336;1030;9;4.85
337;2607;28;1.67
338;1079;48;6.21
339;3075;7;6.01
340;598;48;7.69
341;664;56;6.06
342;1297;12;2.29
343;2314;26;1.86
344;1178;75;1.64
345;2314;49;8.09
346;323;70;6.94
347;1892;56;8.73
348;1657;36;5.65
349;1323;77;0.15
350;236;74;7.29
351;1074;38;3.45
352;1620;81;5.57
353;357;72;8.86
354;822;19;7.69
355;1141;92;5.34
356;393;45;4.25
357;1709;21;0.53
358;1207;52;7.34
359;1977;30;9.84
360;2069;21;7.01
361;1050;59;4.2
362;2390;5;8.59
363;691;88;7.59
364;1522;23;0.63
365;503;64;6.53
366;143;16;2.13
367;1392;64;6.52
368;3063;36;1.06
369;2789;37;8.51
370;921;76;2.32
371;1515;53;8.06
372;385;83;6.33
373;194;6;6.62
374;670;93;8.99
375;2086;86;1.07
376;2458;7;3.01
377;536;64;9.26
378;2138;21;1.55
379;457;3;5.69
380;376;25;2.76
381;437;48;5.53
382;1677;89;3.99
383;1941;45;5.65
384;624;28;1.91
385;1999;56;6.28
386;1142;20;3.59
387;275;99;7.78
388;2589;65;1.47
389;113;28;4.3
390;433;17;9.67
391;1770;81;6.21
392;1180;89;0.44
393;1127;51;3.91
394;2584;59;1.48
395;2179;51;4.89
396;507;77;6.95
397;2461;46;3.02
398;1966;78;9.41
399;1890;48;4.93
400;241;46;9.15
401;1259;16;2.68
402;574;60;2.92
403;1345;47;0.83
404;1110;99;8.62
405;63;84;6.54
406;2981;52;2.25
407;1099;96;7.9
408;599;52;1.11
409;46;90;0.6
410;866;19;4.95
411;965;97;2.4
412;479;85;7.31
413;1484;64;6.93
414;818;16;9.13
415;2099;37;3.36
416;190;81;8.61
417;169;2;2.86
418;349;92;3.75
419;2633;78;2.73
420;2473;50;9.14
421;2744;51;3.1
422;2890;68;1.55
423;2806;23;3.01
424;753;81;2.27
425;2002;64;8.84
426;2720;22;3.23
427;3099;8;9.41
428;2133;36;6.66
429;2133;21;4.51
430;780;65;5.28
431;1318;32;3.03
432;2466;32;0.01
433;1753;87;4.37
434;2681;68;3.13
435;2392;41;1.28
436;1419;40;2.98
437;2669;57;6.87
438;907;69;9.47
439;27;75;7.09
440;1081;72;6.08
441;1245;8;0.72
442;2108;4;5.33
443;273;11;9.22
444;2062;33;1.82
445;1064;54;9.8
446;2506;19;2.88
447;2002;10;6.5
448;2182;83;5.96
449;2005;34;0.94
450;2392;71;4.73
451;1563;15;8.73
452;1313;72;0.61
453;1362;77;2.53
454;1894;18;6.52
455;2366;56;6.49
456;935;77;4.36
457;85;63;3.79
458;2622;10;1.23
459;1012;77;6.1
460;991;68;3.66
461;203;85;1.23
462;2339;66;7.62
463;3086;49;4.53
464;1089;96;0.91
465;1943;17;1.82
466;2968;30;8.46
467;2738;33;5.51
468;2925;16;5.34
469;2501;78;4.12
470;2929;36;3.59
471;337;85;4.07
472;3060;9;5.35
473;429;86;0.37
474;198;30;2.35
475;3056;60;5.05
476;565;45;5.28
477;409;95;7.44
478;819;87;6.19
479;1165;93;6.24
480;2407;26;5.91
481;1603;15;3.53
482;1892;37;4.58
483;2985;98;2.31
484;1438;57;3.06
485;2053;33;0.97
486;2254;85;6.57
487;1659;57;8.34
488;2553;72;4.18
489;803;67;0.07
490;1460;87;0.53
491;424;39;2.33
492;1993;34;2.14
493;1387;99;0.89
494;2365;9;1.03
495;480;4;7.25
496;2132;90;0.38
497;630;57;5.25
498;2753;20;1.88
499;1580;13;2.89
500;1352;8;8.58
501;3113;87;2.96
502;1469;62;6.65
503;375;68;9.65
504;522;50;5.45
505;129;43;7.56
506;269;30;6.07
507;1862;73;3.35
508;77;11;1.6
509;2746;84;2.12
510;304;94;7.09
511;967;72;3.94
512;193;46;1.26
513;1749;80;3.05
514;880;34;2.5
515;275;43;6.22
516;3105;64;5.74
517;2776;4;2.05
518;2083;19;8.92
519;1599;75;2.2
520;1802;29;6.29
521;2491;53;8.92
522;2420;86;1.55
523;354;66;0.74
524;1676;99;9.02
525;2232;80;7.55
526;740;23;8.57
527;487;63;4.28
528;3032;12;7.79
529;1446;5;2.2
530;1604;37;4.62
531;1657;52;6.99
532;1551;8;8.03
533;772;49;0.43
534;74;51;0.22
535;1703;55;0.74
536;1925;75;8.37
537;108;84;3.44
538;1100;86;2.81
539;2231;23;3.24
540;1529;19;1.31
541;637;43;6.3
542;3007;27;2.68
543;1489;38;4.58
544;2783;78;1.47
545;363;77;5.61
546;898;4;1.32
547;3069;55;4.89
548;1410;50;6.7
549;2192;97;2.78
550;1591;20;0.28
551;318;93;9.56
552;1040;20;7.53
553;575;60;4.8
554;1492;68;4.41
555;774;71;7.12
556;1477;44;7.09
557;1307;49;0.44
558;1938;29;7.16
559;1209;16;2.52
560;60;3;6.66
561;3089;100;2.35
562;2386;77;7.59
563;679;60;2.7
564;3051;54;6.81
565;547;24;6.47
566;2690;27;1.2
567;1195;64;8.26
568;38;6;2.62
569;3037;45;4.2
570;435;27;8.26
571;650;66;9.28
572;622;18;7.82
573;453;57;1.41
574;2734;37;6.2
575;1271;64;1.4
576;1533;94;5.63
577;2421;16;3.96
578;866;66;5.13
579;3019;78;7.49
580;3022;43;4.14
581;521;71;0.2
582;795;24;5.11
583;1558;99;3.44
584;1595;81;5.39
585;2521;99;5.18
586;2684;56;4.09
587;1637;88;2.61
588;1204;9;7.36
589;1826;90;8.55
590;2244;2;8.28
591;1100;98;4.51
592;2420;32;2.35
593;1280;89;5.36
594;691;95;0.08
595;1493;13;0.99
596;388;67;7.98
597;2172;40;0.87
598;1840;12;2.27
599;1719;24;1.91
600;2387;92;4.35
601;1369;98;0.53
602;2916;12;8.33
603;2909;69;4.77
604;1436;34;0.4
605;2923;43;7.38
606;2456;71;6.73
607;2197;98;3.33
608;3113;25;9.38
609;270;39;3.74
610;2733;98;8.07
611;1419;14;0.54
612;2852;61;3.78
613;2452;88;5.05
614;865;29;9.74
615;643;10;0.72
616;527;38;4.13
617;1135;69;9.43
618;1106;9;7.49
619;1668;36;4.84
620;2244;68;5.72
621;1008;1;8.79
622;3069;98;1.69
623;2787;9;0.96
624;2047;31;7.33
625;2119;92;1.94
626;1826;75;1.35
627;1614;59;0.26
628;2391;75;4.37
629;1415;15;8.61
630;551;19;5.16
631;354;19;0.65
632;543;83;4.86
633;2435;23;8.98
634;1152;92;8.32
635;3;53;8.63
636;557;80;1.88
637;1921;68;5.04
638;1863;94;2.03
639;307;4;6.47
640;1598;67;8.18
641;1568;44;7.99
642;821;1;0.62
643;2167;81;0.89
644;275;3;1.87
645;1800;70;9.35
646;1325;84;2.72
647;1156;51;1.38
648;1876;69;2.67
649;122;3;9.17
650;1966;96;2.19
651;2563;97;0.26
652;1518;81;5.24
653;245;68;9.6
654;822;55;5.48
655;486;65;5.16
656;27;85;2.07
657;98;56;5.69
658;2542;45;4.44
659;692;20;2.93
660;1140;29;1.98
661;2713;76;9.36
662;878;65;4.83
663;500;5;3.78
664;50;72;8.95
665;273;84;0.76
666;2249;19;3.73
667;2748;81;3.92
668;1856;61;0.94
669;398;26;3.37
670;1677;25;1.27
671;9;39;3.4
672;1192;96;8.05
673;2988;41;4.69
674;1707;11;6.1
675;2936;37;6.17
676;2926;11;2.77
677;2571;26;5.33
678;1814;56;8.35
679;41;78;6.85
680;557;47;5.55
681;648;26;7.82
682;2754;86;2.24
683;88;48;9.15
684;2605;82;7.66
685;807;23;3.72
686;3109;48;0.2
687;2927;61;0.71
688;2763;24;5.01
689;1170;60;6.92
690;939;69;2.43
691;2708;74;5.36
692;2600;37;4.4
693;60;79;9.1
694;2815;43;2.53
695;2291;57;5.61
696;1225;41;4.84
697;2745;32;6.25
698;2287;63;1.99
699;389;26;0.23
700;1426;97;2.84
701;776;9;5.57
702;342;89;7.37
703;481;9;0.36
704;2082;96;2.09
705;1980;93;9.09
706;2582;37;1.21
707;523;92;7.07
708;1754;35;4.74
709;1246;29;3.63
710;477;27;0.58
711;2467;69;0.87
712;620;39;0.97
713;2129;61;1.01
714;169;62;1.91
715;3029;15;6.47
716;594;31;5.58
717;260;96;6.86
718;970;47;5.93
719;479;2;2.07
720;1996;60;4.58
721;994;25;7.96
722;152;28;6.22
723;1394;95;8.06
724;335;96;0.51
725;831;91;3.27
726;696;27;0.72
727;2070;94;9.83
728;837;74;3.48
729;2940;15;7.51
730;77;90;5.09
731;152;82;3.6
732;1200;6;8.91
733;2071;45;5.44
734;645;16;3.41
735;1068;13;9.17
736;1527;1;1.75
737;1997;9;1.51
738;28;9;0.51
739;1229;29;7.17
740;2202;76;1.01
741;2995;26;3.56
742;1294;7;1.35
743;2510;51;2.19
744;1602;13;4.36
745;1822;5;7.83
746;1083;95;7.44
747;2723;77;7.66
748;1489;73;6.38
749;3016;2;6.54
750;645;39;7.57
751;636;13;7.1
752;3071;17;3.55
753;1872;8;9.69
754;1571;100;1.83
755;1024;52;6.58
756;1743;21;4.29
757;2222;62;8.45
758;454;13;1.67
759;1493;94;8.27
760;1984;6;1.86
761;2527;34;6.94
762;3015;100;8.79
763;2622;13;8.36
764;1811;89;8.88
765;2839;57;9.97
766;2412;15;7.95
767;1608;60;7.67
768;2281;80;0.82
769;2057;99;2.3
770;2137;9;1.18
771;395;20;0.61
772;999;66;8.19
773;467;30;7.02
774;382;18;6.07
775;2723;67;3.67
776;787;39;0.15
777;1780;56;2.53
778;445;24;7.49
779;912;37;3.76
780;1905;46;8.91
781;2387;98;6.98
782;735;43;7.64
783;4;34;4.22
784;2377;38;4.09
785;2209;78;5.01
786;633;89;2.08
787;2272;98;7.2
788;1440;19;0.57
789;609;89;8.15
790;934;65;9.71
791;1992;77;3.3
792;1759;49;9.76
793;717;48;6.33
794;2692;31;4.94
795;2797;12;8.64
796;115;69;2.56
797;1331;90;3.81
798;2712;30;5.9
799;2880;85;6.37
800;2782;6;9.93
801;898;99;4.88
802;1077;64;9.45
803;1351;74;1.84
804;671;30;7.94
805;935;5;6.38
806;565;53;0.1
807;3051;83;3.06
808;2590;84;4.28
809;2948;41;4.11
810;710;94;1.87
811;3119;8;5.42
812;1488;47;1.55
813;800;98;1.45
814;1881;51;1.94
815;1467;67;8.03
816;804;48;1.91
817;1236;73;9.14
818;2482;19;5.56
819;550;96;6.24
820;2217;80;0.5
821;1;35;1.4
822;1994;48;4.67
823;180;28;2.43
824;132;73;7.75
825;2019;38;7.6
826;847;23;7.73
827;690;28;7.32
828;3005;46;7.32
829;2366;97;6.57
830;1210;88;8.07
831;1558;86;2.7
832;3081;10;1.6
833;900;88;6.02
834;2926;3;6.69
835;1066;6;4.81
836;1411;44;4.01
837;1103;81;8.03
838;2218;16;5.61
839;421;3;9.69
840;1995;95;0.19
841;1539;83;8.45
842;828;29;7.29
843;134;76;0.55
844;2921;72;5.28
845;581;76;5.65
846;731;15;1.85
847;1816;58;5.71
848;678;53;8.85
849;1142;1;2.92
850;2106;68;9.78
851;2951;43;1.55
852;171;89;9.84
853;2009;91;6.09
854;75;57;0.0
855;898;6;1.96
856;546;77;2.06
857;2829;50;0.32
858;3094;30;0.92
859;196;9;5.57
860;512;87;1.27
861;1072;97;2.03
862;1937;50;8.61
863;2125;26;7.87
864;636;88;2.95
865;2571;85;0.88
866;248;61;1.52
867;1192;90;1.58
868;1540;8;4.18
869;595;54;4.44
870;507;22;8.04
871;161;83;3.04
872;334;23;0.47
873;459;56;0.4
874;1582;45;5.68
875;745;65;6.2
876;1922;17;4.89
877;414;11;1.69
878;2378;33;5.17
879;252;85;6.48
880;2005;99;6.67
881;2772;98;7.86
882;384;93;3.57
883;631;25;0.13
884;1851;79;7.32
885;1921;67;0.27
886;536;23;6.46
887;2963;17;9.95
888;1418;53;3.24
889;2955;88;2.99
890;665;47;3.33
891;2017;49;9.46
892;2343;83;2.82
893;2545;22;7.78
894;2711;61;2.54
895;1668;91;7.99
896;1063;44;9.8
897;831;52;1.02
898;1132;1;7.94
899;216;42;3.87
900;1629;83;0.13
901;701;82;8.09
902;386;30;7.15
903;1709;34;7.42
904;20;10;3.67
905;2142;25;0.5
906;839;64;7.15
907;1753;88;5.01
908;264;67;8.59
909;490;37;5.63
910;1310;70;7.38
911;2350;88;9.1
912;2875;52;9.36
913;592;33;5.68
914;1977;26;1.06
915;3099;12;1.96
916;734;96;5.62
917;3036;57;5.93
918;1751;28;0.98
919;775;54;8.56
920;1634;52;6.09
921;2372;84;9.96
922;75;17;5.7
923;2028;100;3.5
924;90;7;6.02
925;213;66;1.07
926;344;42;9.68
927;2757;90;2.68
928;439;87;9.05
929;2019;30;0.1
930;1863;53;8.29
931;805;42;1.96
932;1614;96;3.89
933;2706;99;2.28
934;1410;53;6.54
935;46;40;6.52
936;533;3;3.1
937;390;97;2.75
938;2663;65;7.98
939;666;74;5.24
940;2965;54;0.65
941;2291;10;6.21
942;12;16;6.94
943;731;54;8.54
944;2437;48;7.75
945;1708;3;6.18
946;967;35;3.1
947;1870;81;1.25
948;766;80;0.5
949;1979;99;6.12
950;2949;17;7.49
951;229;24;1.16
952;2739;23;6.41
953;1087;58;1.98
954;2286;91;7.67
955;660;45;9.36
956;1089;60;8.29
957;164;100;3.59
958;2169;61;2.43
959;1994;85;6.64
960;2061;28;8.51
961;1420;19;5.01
962;3044;49;9.75
963;223;67;4.92
964;2052;38;3.52
965;2434;31;0.09
966;400;35;2.98
967;3034;97;8.0
968;2295;32;6.3
969;384;29;3.13
970;1762;62;2.51
971;2271;16;0.53
972;2983;95;3.52
973;3050;26;0.75
974;1291;73;4.92
975;2194;1;8.08
976;2745;51;4.29
977;2479;23;1.06
978;2023;92;4.05
979;954;18;7.02
980;1005;92;0.56
981;2605;98;1.15
982;1949;43;9.11
983;214;45;5.73
984;1355;69;1.13
985;2292;56;9.49
986;2204;92;7.94
987;48;54;8.17
988;319;16;2.38
989;36;42;8.21
990;2424;89;6.83
991;1745;31;4.96
992;2050;38;0.77
993;915;22;3.57
994;2411;97;5.89
995;1531;82;2.99
996;2213;8;3.43
997;1880;29;2.74
998;2767;14;5.37
999;2975;79;5.81
1000;2912;68;9.55
1001;146;72;9.31
1002;853;58;0.38
1003;2226;48;6.09
1004;2596;25;3.67
1005;2530;45;1.89
1006;2584;46;2.43
1007;2541;89;8.05
1008;2025;65;9.62
1009;967;66;6.76
1010;824;27;0.17
1011;1932;41;7.61
1012;1920;33;6.64
1013;517;5;6.57
1014;1398;66;4.67
1015;2617;12;2.28
1016;530;43;6.06
1017;1548;84;1.66
1018;1099;38;2.15
1019;2322;83;0.47
1020;1692;77;1.64
1021;1123;73;5.55
1022;470;65;2.0
1023;377;72;8.19
1024;1036;85;9.75
1025;800;93;6.95
1026;340;3;8.93
1027;1478;35;6.63
1028;1029;68;2.4
1029;2367;24;7.39
1030;2586;26;2.61
1031;1335;29;3.04
1032;658;39;0.23
1033;1668;22;1.67
1034;568;51;8.57
1035;392;9;4.8
1036;578;79;0.94
1037;2763;36;0.61
1038;1048;48;4.69
1039;397;12;6.5
1040;867;33;6.06
1041;2043;96;7.84
1042;1324;16;5.07
1043;144;70;1.02
1044;2240;83;9.66
1045;371;48;9.04
1046;271;35;6.82
1047;609;32;0.16
1048;1146;31;4.09
1049;858;13;6.76
1050;1663;29;5.21
1051;2386;75;6.48
1052;2584;12;2.49
1053;2230;13;8.31
1054;2119;16;2.28
1055;1270;55;9.79
1056;520;29;6.46
1057;1899;61;7.99
1058;2424;63;7.72
1059;2170;38;2.58
1060;1863;8;0.21
1061;2508;23;8.66
1062;2657;98;0.53
1063;677;2;0.41
1064;969;75;1.94
1065;110;21;6.83
1066;915;97;7.78
1067;285;47;9.9
1068;2249;71;6.49
1069;69;72;1.18
1070;451;2;5.3
1071;2468;95;7.54
1072;2834;80;9.96
1073;2389;26;5.42
1074;2443;74;2.05
1075;2559;95;2.7
1076;1961;35;7.51
1077;999;17;1.72
1078;1440;66;3.06
1079;1501;85;9.73
1080;140;91;2.26
1081;1849;54;0.4
1082;2939;68;8.02
1083;1729;17;2.23
1084;967;36;4.55
1085;2036;83;2.64
1086;2656;72;0.95
1087;78;31;1.43
1088;1886;94;0.77
1089;1375;10;8.85
1090;30;93;7.68
1091;2954;3;8.8
1092;447;71;9.64
1093;1756;52;9.39
1094;2761;88;3.88
1095;2253;58;0.28
1096;94;36;2.7
1097;280;1;2.76
1098;2097;23;6.34
1099;1790;53;4.28
1100;1977;21;0.59
1101;1192;84;0.42
1102;2009;93;8.13
1103;858;75;4.45
1104;41;79;9.04
1105;546;14;8.68
1106;2151;37;3.39
1107;382;21;1.08
1108;246;71;3.67
1109;760;88;3.22
1110;1034;89;8.77
1111;1686;35;0.15
1112;2888;42;4.77
1113;1247;22;3.53
1114;1888;46;2.66
1115;2533;86;1.28
1116;1261;72;5.12
1117;3095;51;8.09
1118;1469;81;4.96
1119;1869;19;0.28
1120;607;17;6.69
1121;2593;28;8.08
1122;2016;38;2.61
1123;2723;24;0.77
1124;2324;16;4.09
1125;796;78;8.88
1126;748;51;7.08
1127;253;23;5.27
1128;1950;40;4.92
1129;667;100;9.83
1130;2618;48;1.12
1131;43;39;5.2
1132;3104;58;2.26
1133;3052;5;7.59
1134;582;94;6.31
1135;752;97;5.87
1136;1374;100;0.13
1137;1386;13;9.72
1138;910;76;5.25
1139;734;29;9.4
1140;1560;72;6.6
1141;472;91;5.51
1142;2917;32;2.86
1143;2301;21;7.79
1144;1100;69;0.27
1145;1439;66;4.55
1146;2763;67;4.25
1147;1522;30;2.31
1148;558;71;4.85
1149;1027;39;9.38
1150;895;18;4.83
1151;2903;95;4.58
1152;2612;82;8.14
1153;412;75;9.46
1154;202;87;1.98
1155;1544;78;1.16
1156;1905;63;6.0
1157;1230;15;0.52
1158;2652;65;4.06
1159;1865;79;0.14
1160;902;3;0.16
1161;2873;7;6.94
1162;3100;61;0.76
1163;2259;29;9.36
1164;226;23;8.91
1165;2844;22;1.63
1166;1457;91;5.52
1167;946;95;9.63
1168;1940;58;4.99
1169;2447;47;2.84
1170;2942;14;1.57
1171;1071;18;7.27
1172;2891;68;9.28
1173;1855;41;1.07
1174;2430;20;8.65
1175;1409;27;5.54
1176;430;67;6.9
1177;2417;34;4.64
1178;2396;96;5.33
1179;423;68;5.87
1180;816;59;7.66
1181;288;68;7.71
1182;1698;22;6.16
1183;2396;86;3.73
1184;1308;76;2.19
1185;2727;14;1.41
1186;1892;67;1.02
1187;2033;61;9.73
1188;1275;59;8.99
1189;163;62;6.44
1190;351;39;0.7
1191;2263;49;0.18
1192;803;38;2.79
1193;876;70;3.18
1194;1874;32;4.61
1195;1896;12;4.51
1196;324;85;6.65
1197;2867;94;1.28
1198;1207;72;0.01
1199;2500;59;8.41
1200;618;85;7.27
1201;630;79;0.54
1202;2695;48;4.01
1203;1221;58;9.25
1204;1438;54;8.36
1205;2086;23;4.68
1206;543;48;8.37
1207;2997;47;2.56
1208;187;21;3.11
1209;2538;89;2.38
1210;2526;40;9.39
1211;1429;92;7.53
1212;1371;16;7.26
1213;921;32;0.08
1214;2124;84;2.2
1215;2427;36;5.36
1216;1164;4;7.18
1217;464;33;8.2
1218;1477;96;1.18
1219;2534;50;1.96
1220;74;52;6.65
1221;657;87;1.3
1222;2627;51;0.13
1223;1806;8;6.88
1224;1853;31;0.94
1225;662;73;4.72
1226;865;16;8.34
1227;1367;17;2.01
1228;2142;100;5.87
1229;443;83;7.47
1230;216;82;7.21
1231;2106;97;0.24
1232;1106;14;7.53
1233;2866;65;7.89
1234;885;9;0.12
1235;531;91;0.36
1236;1753;40;8.56
1237;1792;14;4.19
1238;2324;14;4.18
1239;1055;90;5.17
1240;422;24;4.64
1241;948;35;0.6
1242;669;73;4.54
1243;988;21;4.76
1244;776;94;5.15
1245;491;31;0.88
1246;2467;28;2.16
1247;1484;77;0.77
1248;149;86;4.75
1249;2823;18;6.29
1250;1431;8;1.95
1251;1309;10;4.32
1252;2916;36;5.46
1253;714;6;5.13
1254;1544;23;4.76
1255;2975;90;1.9
1256;2244;64;4.42
1257;3109;92;5.67
1258;2596;16;7.62
1259;1299;5;9.77
1260;1229;88;7.04
1261;1920;7;0.7
1262;2068;24;3.38
1263;2028;53;8.85
1264;2027;41;4.13
1265;1926;55;5.02
1266;2059;100;8.95
1267;2791;28;9.05
1268;1809;72;0.76
1269;824;44;0.21
1270;2006;42;5.8
1271;2767;4;8.93
1272;499;56;7.91
1273;558;73;0.1
1274;2218;84;1.12
1275;879;48;3.99
1276;736;5;8.08
1277;1959;14;0.12
1278;2275;83;7.71
1279;995;50;9.6
1280;2620;39;6.1
1281;443;54;5.15
1282;1259;53;0.99
1283;2525;85;4.48
